Date,Close/Last,Volume,Open,High,Low
11/22/2019,1745.72,2479081,1739.02,1746.43,1731
11/21/2019,1734.71,2662938,1743,1746.87,1730.36
11/20/2019,1745.53,2793759,1749.14,1762.524,1734.12
11/19/2019,1752.79,2274535,1756.99,1760.68,1743.03
11/18/2019,1752.53,2841907,1738.3,1753.7,1722.71
11/15/2019,1739.49,3931141,1760.05,1761.68,1732.86
11/14/2019,1754.6,2269417,1751.43,1766.5931,1749.56
11/13/2019,1753.11,2926892,1773.39,1775,1747.3216
11/12/2019,1778,2038925,1774.66,1786.22,1771.91
11/11/2019,1771.65,1947810,1778,1780,1767.13
11/08/2019,1785.88,2126198,1787.89,1789.88,1774.04
11/07/2019,1788.2,2651086,1803.76,1805.9,1783.48
11/06/2019,1795.77,2029783,1801,1802.5,1788.58
11/05/2019,1801.71,1885543,1809.16,1810.25,1794
11/04/2019,1804.66,2771922,1801.01,1815.06,1801.01
11/01/2019,1791.44,2790354,1788.01,1797.445,1785.21
10/31/2019,1776.66,2781185,1775.99,1792,1771.4753
10/30/2019,1779.99,2449405,1760.24,1782.38,1759.115
10/29/2019,1762.71,2276855,1774.81,1777,1755.81
10/28/2019,1777.08,3708851,1748.06,1778.7,1742.5
10/25/2019,1761.33,9626402,1697.55,1764.21,1695
10/24/2019,1780.78,5204350,1771.09,1788.3379,1760.27
10/23/2019,1762.17,2190380,1761.3,1770.05,1742
10/22/2019,1765.73,2234425,1788.15,1789.7799,1762
10/21/2019,1785.66,2224902,1769.66,1785.88,1765
10/18/2019,1757.51,3366091,1787.8,1793.98,1749.2001
10/17/2019,1787.48,2713773,1796.49,1798.85,1782.02
10/16/2019,1777.43,2804068,1773.33,1786.24,1770.521
10/15/2019,1767.38,3129244,1742.14,1776.45,1740.62
10/14/2019,1736.43,1928898,1728.91,1741.8887,1722
10/11/2019,1731.92,3279534,1742.92,1745.45,1729.86
10/10/2019,1720.26,2721531,1725.24,1738.29,1713.75
10/09/2019,1721.99,2089335,1719.61,1729.95,1714.36
10/08/2019,1705.51,2626840,1722.49,1727,1705
10/07/2019,1732.66,2187598,1731.63,1747.83,1723.7
10/04/2019,1739.65,2489277,1726.02,1740.575,1719.23
10/03/2019,1724.42,3624371,1713,1725,1685.06
10/02/2019,1713.23,3338476,1727.74,1728.89,1705
10/01/2019,1735.65,3170460,1746,1755.6,1728.41
09/30/2019,1735.91,2760768,1726.99,1737.46,1709.22
09/27/2019,1725.45,3948029,1748,1749.12,1713.82
09/26/2019,1739.84,3571952,1762.79,1763.37,1731.5
09/25/2019,1768.33,3531098,1747.36,1773,1723
09/24/2019,1741.61,4637901,1790.605,1795.705,1735.545
09/23/2019,1785.3,3139142,1777,1792.7,1767.32
09/20/2019,1794.16,5555839,1821.71,1830.63,1780.92
09/19/2019,1821.5,2078335,1821.02,1832.57,1817.9
09/18/2019,1817.46,2536012,1817.04,1822.06,1795.5
09/17/2019,1822.55,2033058,1807.08,1823.99,1804.1
09/16/2019,1807.84,3675473,1824.02,1825.6941,1800.2
09/13/2019,1839.34,1971317,1842.01,1846.1215,1835.17
09/12/2019,1843.55,2823505,1837.63,1853.66,1834.28
09/11/2019,1822.99,2432767,1812.14,1833.42,1809.08
09/10/2019,1820.55,2613879,1822.75,1825.81,1805.3356
09/09/2019,1831.35,2999515,1841,1850,1824.61
09/06/2019,1833.51,2496933,1838.22,1840.65,1826.4
09/05/2019,1840.72,3325189,1821.95,1842,1815.575
09/04/2019,1800.62,2326228,1805,1807.6308,1796.23
09/03/2019,1789.84,3546859,1770,1800.8,1768
08/30/2019,1776.29,3064147,1797.49,1799.74,1764.57
08/29/2019,1786.4,3018012,1783,1798.55,1777.25
08/28/2019,1764.25,2421893,1755,1767.86,1744.0505
08/27/2019,1761.83,3027245,1775.73,1779.4,1746.68
08/26/2019,1768.87,3085320,1766.91,1770,1743.51
08/23/2019,1749.62,5277898,1793.03,1804.8962,1745.23
08/22/2019,1805.6,2658388,1828,1829.4111,1800.1
08/21/2019,1823.54,2039231,1819.39,1829.5785,1815
08/20/2019,1801.38,1932835,1814.5,1816.82,1799.88
08/19/2019,1816.12,2820303,1818.08,1826,1812.61
08/16/2019,1792.57,3054240,1792.89,1802.9082,1784.5496
