2009-01-02,51.3499984741,54.5299987793,51.0699996948,54.3600006104,up
2009-01-05,55.7299995422,55.7400016785,53.0299987793,54.0600013733,down
2009-01-06,54.5499992371,58.2200012207,53.75,57.3600006104,up
2009-01-07,56.2900009155,56.9500007629,55.3499984741,56.2000007629,down
2009-01-08,54.9900016785,57.3199996948,54.5800018311,57.1599998474,up
2009-01-09,56.9199981689,57.0,54.7000007629,55.5099983215,down
2009-01-12,54.1199989319,54.2999992371,50.8699989319,51.9199981689,down
2009-01-13,50.9599990845,53.2900009155,50.75,51.4500007629,down
2009-01-14,50.0999984741,50.0999984741,48.1399993896,48.4900016785,down
2009-01-15,48.5600013733,52.2299995422,47.6300010681,51.4399986267,up
2009-01-16,51.7999992371,52.3300018311,49.5299987793,51.5900001526,up
2009-01-20,50.75,51.7000007629,48.2700004578,48.4399986267,down
2009-01-21,49.3100013733,50.6899986267,48.25,50.5400009155,up
2009-01-22,49.4199981689,50.8800010681,48.2599983215,49.9399986267,down
2009-01-23,48.9000015259,51.4199981689,48.4500007629,50.6300010681,up
2009-01-26,50.1800003052,50.8899993896,48.5200004578,49.6300010681,down
2009-01-27,49.2999992371,50.4199981689,47.7200012207,48.4399986267,down
2009-01-28,49.7200012207,51.4900016785,48.9700012207,50.3600006104,up
2009-01-29,49.9599990845,51.8499984741,49.1399993896,50.0,down
2009-01-30,57.3600006104,59.7400016785,57.2400016785,58.8199996948,up
2009-02-02,58.5699996948,62.0,58.1300010681,61.1500015259,up
2009-02-03,60.8699989319,64.1999969482,60.0,63.5900001526,up
2009-02-04,63.3800010681,63.4399986267,60.8300018311,61.0600013733,down
2009-02-05,61.1500015259,63.8100013733,60.6300010681,63.1800003052,up
2009-02-06,63.1800003052,67.0,63.1800003052,66.5500030518,up
2009-02-09,66.5599975586,67.3600006104,65.3799972534,66.7099990845,up
2009-02-10,66.1500015259,67.2300033569,63.0699996948,63.3100013733,down
2009-02-11,63.0999984741,64.9000015259,62.25,64.3499984741,up
2009-02-12,63.25,64.25,61.7099990845,63.9599990845,down
2009-02-13,63.9700012207,64.6800003052,62.8699989319,63.2599983215,down
2009-02-17,61.6699981689,62.6500015259,61.1800003052,61.6699981689,down
2009-02-18,62.2700004578,62.7799987793,60.5200004578,62.3499984741,up
2009-02-19,62.8400001526,64.1800003052,61.6699981689,61.9500007629,down
2009-02-20,61.0699996948,64.1500015259,60.8400001526,63.8600006104,up
2009-02-23,64.1600036621,64.9100036621,61.5200004578,61.7099990845,down
2009-02-24,61.9700012207,66.0999984741,61.8899993896,65.5999984741,up
2009-02-25,64.9000015259,65.75,62.8199996948,63.7099990845,down
2009-02-26,64.1200027466,64.7300033569,62.3400001526,62.3400001526,down
2009-02-27,61.2599983215,65.0800018311,60.9399986267,64.7900009155,up
2009-03-02,63.9399986267,65.5199966431,61.5099983215,61.9900016785,down
2009-03-03,62.75,63.2900009155,61.2999992371,61.7000007629,down
2009-03-04,62.7999992371,65.7900009155,62.4000015259,64.8099975586,up
2009-03-05,64.1200027466,65.8000030518,63.5999984741,64.7699966431,down
2009-03-06,65.1999969482,65.5,59.8199996948,61.6899986267,down
2009-03-09,62.2000007629,64.0299987793,60.1500015259,60.4900016785,down
2009-03-10,62.4900016785,65.9000015259,61.7799987793,65.7099990845,up
2009-03-11,66.2399978638,69.3700027466,65.2699966431,68.5400009155,up
2009-03-12,68.3499984741,69.8700027466,67.25,69.5800018311,up
2009-03-13,69.6399993896,69.7399978638,67.5299987793,68.6299972534,down
2009-03-16,68.5599975586,69.2900009155,66.6800003052,66.9800033569,down
2009-03-17,67.3700027466,71.7099990845,67.0,71.3499984741,up
2009-03-18,70.9700012207,73.9100036621,70.1299972534,71.25,down
2009-03-19,71.4000015259,71.9100036621,69.2399978638,70.0999984741,down
2009-03-20,70.3899993896,70.8899993896,69.0800018311,69.9599990845,down
2009-03-23,71.3600006104,75.6100006104,70.6999969482,75.5800018311,up
2009-03-24,74.8499984741,75.0,72.3099975586,72.8099975586,down
2009-03-25,73.0899963379,73.9499969482,69.8399963379,72.4000015259,down
2009-03-26,73.4700012207,74.9800033569,72.6399993896,73.6900024414,up
2009-03-27,71.6100006104,72.2900009155,70.0999984741,70.5199966431,down
2009-03-30,70.4000015259,71.6699981689,69.75,71.4400024414,up
2009-03-31,72.6100006104,74.5,72.1200027466,73.4400024414,up
2009-04-01,73.0199966431,75.0899963379,71.7099990845,73.5,up
2009-04-02,73.6299972534,77.2399978638,73.4400024414,76.3399963379,up
2009-04-03,76.4199981689,78.3199996948,75.5,78.1699981689,up
2009-04-06,77.2600021362,78.3600006104,76.0,77.9899978638,down
2009-04-07,76.9700012207,77.0800018311,74.8799972534,75.5100021362,down
2009-04-08,75.9300003052,77.1100006104,74.5699996948,76.9800033569,up
2009-04-09,77.5100021362,80.0,77.2600021362,79.7699966431,up
2009-04-13,79.8399963379,79.9700012207,77.8499984741,78.9400024414,down
2009-04-14,78.0,79.4599990845,76.9400024414,77.2200012207,down
2009-04-15,75.5,75.8099975586,73.5100021362,74.7099990845,down
2009-04-16,75.3300018311,77.4800033569,75.1600036621,77.25,up
2009-04-17,76.7799987793,78.7200012207,75.8799972534,78.0500030518,up
2009-04-20,78.4400024414,79.7900009155,76.8300018311,77.5699996948,down
2009-04-21,77.3300018311,79.0999984741,77.2900009155,78.7399978638,up
2009-04-22,78.1699981689,82.1800003052,77.8099975586,79.1999969482,up
2009-04-23,81.3300018311,82.0599975586,79.0800018311,80.6100006104,up
